部分,考试类型,问题类型,问答对,筛选后三元组,index,同类问题,不同问题,index
高考学考,秋考,报名篇,问：中本贯通需要参加高考吗？答：中本贯通转段需要参加三校生高考。,"['(中本贯通转段, 需要参加, 三校生高考)']",10,"['中本贯通转段是否需要参加高考？具体是哪种类型的高考？', '中本贯通转段需高考吗？', '中本贯通的学生在中职阶段结束后，进入本科阶段是否需要参加高考？如果需要，具体参加的是哪种形式的高考？', '读中本贯通的话，后面转段还要考高考吗？']","['中本贯通转段需要参加什么类型的考试？', '三校生高考是中本贯通转段的必考环节吗？', '中本贯通的学生在转段时必须参加哪种高考？']",10
高考学考,秋考,报名篇,问：中高职贯通、五年一贯制需要参加高考吗？答：中高职贯通转段、五年一贯制转入高等学校的考试由所在学校负责，仅进行高考报名。,"['(中高职贯通转段, 需进行, 高考报名)', '(五年一贯制, 需进行, 高考报名)', '(中高职贯通转段, 负责机构, 所在学校)', '(五年一贯制, 考试负责机构, 所在学校)']",11,"['中高职贯通转段和五年一贯制学生在升学时是否需要参加普通高考？', '中高职贯通和五年一贯制要高考吗？', '请问中高职贯通的学生在转段进入高职阶段，以及五年一贯制学生转入高校时，是否必须参加全国统一高考？具体考试流程由谁负责？', '哎，听说中高职贯通和五年一贯制的学生不用高考，是不是真的啊？']","['中高职贯通转段的考试由谁负责组织？', '五年一贯制学生是否需要参加全国统一高考？', '中高职贯通和五年一贯制的升学考试是否需要参加高考以外的其他考试？']",11
高考学考,秋考,报名篇,问：体育单招、保送生、英才班需要报名吗？答：保送生（含外语及竞赛保送生、六部委保送录取优秀运动员）、运动训练、武术与民族传统体育专业考生、高水平运动队、西藏高中班、新疆高中班、新疆中职班、西藏中职班学生、英才班等拔尖创新人才选拔录取的考生，也必须办理报名手续取得报名号。,"['(保送生, 包含, 外语及竞赛保送生)', '(运动训练专业考生, 属于, 拔尖创新人才选拔录取的考生)', '(武术与民族传统体育专业考生, 属于, 拔尖创新人才选拔录取的考生)', '(高水平运动队, 属于, 拔尖创新人才选拔录取的考生)', '(西藏高中班学生, 属于, 拔尖创新人才选拔录取的考生)', '(新疆高中班学生, 属于, 拔尖创新人才选拔录取的考生)', '(西藏中职班学生, 属于, 拔尖创新人才选拔录取的考生)', '(英才班, 属于, 拔尖创新人才选拔录取的考生)', '(拔尖创新人才选拔录取的考生, 必须办理, 报名手续)']",12,"['体育单招、保送生、英才班等特殊招生类型是否需要办理报名手续？', '体育单招等需要报名吗？', '作为特殊招生渠道的保送生、体育单招、英才班等考生，是否必须通过报名流程获取报名号才能录取？', '听说保送生和体育单招这些不用报名？真的假的啊？']","['保送生和高水平运动队考生是否需要办理报名手续？', '西藏高中班或新疆中职班的学生是否需要通过报名获取报名号？', '英才班等拔尖创新人才选拔录取的考生是否必须进行报名？']",12
高考学考,秋考,报名篇,问：体育单招、保送生、英才班报名怎么选择相关考试？答：个人信息如实填报，报考考试选择秋考。,[],13,"['体育单招、保送生及英才班的报考考试类型应如何选择？', '体育单招等考试选哪种报考？', '在报名过程中，体育单招、保送生和英才班的考试类型如何区分选择？是否需要根据个人情况调整报考选项？', '体育单招、保送生这些考试报名到底该选哪个？直接选秋考就行吗？']","['体育单招、保送生、英才班报名时如何正确选择考试类型？', '填报个人信息和考试类型时需要注意什么？', '报考体育单招等特殊类型招生时，考试选项应如何填写？']",13
高考学考,秋考,报名篇,问：考生目前大一就读，是否可以参加2024年高考报名？（哪些人员不属于报名对象？）答：（1）具有普通高等学历教育资格的高校在校生，或已被普通高校录取并保留入学资格的学生（大学在籍）；（2）高中阶段学校非应届毕业的在校生（高一、高二年级。三校生一、二年级等）；（3）在高中阶段非应届毕业年份以弄虚作假手段报名并违规参加普通高校招生考试（包括全国统考、省级统考和高校单独组织的招生考试）的应届毕业生；（4）因违反国家教育考试规定，被给予暂停参加普通高校招生考试处理且在停考期内的人员；（5）因触犯刑法已被有关部门采取强制措施或正在服刑者，其中，未成年人按相关法律规定执行。,"['(报名对象, 不包括, 普通高等学历教育资格的高校在校生)', '(报名对象, 不包括, 已被普通高校录取并保留入学资格的学生)', '(报名对象, 不包括, 高中阶段学校非应届毕业生)', '(报名对象, 不包括, 弄虚作假报名并违规参加普通高校招生考试的考生)', '(报名对象, 不包括, 违反国家教育考试规定且在停考期内的人员)', '(报名对象, 不包括, 触犯刑法并被采取强制措施或正在服刑者)']",14,"['哪些人员不符合2024年高考报名资格？大一在校生是否属于禁止报名对象？', '大一学生能报2024高考吗？', '目前就读于大学一年级的学生是否有资格报名参加2024年的普通高考？根据相关规定，哪些类型的学生被明确禁止报名？', '哎，我现在大一，想再考一次2024年的高考行不行啊？']","['哪些人员被禁止参加2024年高考报名？', '高二学生是否可以报名2024年高考？', '保留大学入学资格的学生能报考2024年高考吗？']",14
高考学考,秋考,报名篇,问：考生是上海户口，参加高考有什么条件吗？（本市户籍考生参加高考报名需要哪些条件？）答：本市户籍人员具有本市常住户籍的高中阶段学校毕业生或具有同等学力者（含具有本市常住户籍的非本市高中阶段学校毕业生）。,"['(上海户口, 等同于, 本市常住户口)', '(本市户籍考生, 报名条件, 高级中等教育学校毕业或具有同等学力)', '(本市户籍高考报名条件, 包含, 同等学力者)', '(同等学力者, 包含, 具有本市常住户籍的非本市高中阶段学校毕业生)', '(同等学力者, 必须具有, 本市常住户口)']",15,"['本市户籍考生参加高考需要满足哪些条件？', '上海户籍考生高考报名条件是什么？', '作为上海户籍的考生，若想参加高考，需满足哪些具体资格要求？例如学历、户籍状态或其他相关限制？', '我是上海本地户口，想参加高考的话得符合啥条件啊？']","['上海户籍人士报考高考需满足哪些资格要求？', '具有上海户口但非本地高中毕业的人能参加高考吗？', '在上海报名高考的户籍考生需要具备什么基本条件？']",15
高考学考,秋考,报名篇,问：考生不是上海户口，参加高考有什么条件吗？（非本市户籍考生参加高考报名需要哪些条件？）答：非本市户籍考生需要满足下列条件之一：（1）考生为积分达到标准分值的《上海市居住证》持证人的同住子女，且在本市参加中招或父母一方连续持有《上海市居住证》3年，同时须本市高中阶段学校毕业；（2）考生为《上海市海外人才居住证》留学人员持证人的同住子女，且须本市高中阶段学校毕业；（3）考生为持有效《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》的留学人员其持外国护照子女，且考生须是参加本市中招并具有本市高中阶段完整学习经历的应届毕业生或2023年已列入本市高考报名库的往届毕业生；（4）考生父母双方或一方现属本市常住户籍，考生本人持《上海市居住证》，且考生须是参加本市中招并具有本市高中阶段完整学习经历的应届毕业生或2023年已列入本市高考报名库的往届毕业生；（5）考生父母双方或一方是经市政府合作交流办认定的驻沪机构工作人员，且考生须是参加本市中招并具有本市高中阶段完整学习经历的应届毕业生或2023年已列入本市高考报名库的往届毕业生；（6）考生为在沪定居并持有签发地为上海的《中华人民共和国外国人永久居留身份证》的外国人，且为高中阶段学校毕业生；（7）考生父母双方或一方是在沪博士后科研流动站（工作站）在站人员，且考生为高中阶段学校毕业生；（8）考生属在沪台胞，香港、澳门特别行政区永久居民身份，且为本市高中阶段学校毕业生；（9）考生为梅山、大屯、鲁矿三地上海后方基地单位职工子女，且纳入市教委锁定名单，须参加本市中招且本市高中阶段学校毕业。,"['(非本市户籍考生, 需为同住子女, 上海市海外人才居住证持证人)', '(留学人员持证人, 持有, 上海市海外人才居住证)', '(外国护照子女, 持有效, 具有本市户籍留学人员其持外国护照子女享受优惠政策证明)', '(非本市户籍考生, 父母属于, 本市常住户口)', '(市政府合作交流办, 认定, 驻沪机构工作人员)', '(非本市户籍考生, 父母为, 经市政府合作交流办认定的驻沪机构工作人员)', '(外国人, 持有, 签发地为上海的中华人民共和国外国人永久居留身份证)', '(在沪定居并持有上海签发外国人永久居留身份证的外国人, 需为, 高中阶段学校毕业生)', '(在沪台胞, 需为, 本市高中阶段学校毕业生)', '(香港特别行政区永久居民考生, 需为, 本市高中阶段学校毕业生)', '(梅山, 属于适用地区, 上海后方基地单位职工子女所在地之一)']",16,"['非上海市户籍的考生若想参加本地高考，需满足哪些具体要求？', '上海高考非户籍生条件？', '如果一名学生没有上海户籍，但希望在上海参加高考，需要符合哪些特定条件？例如父母持有居住证的情况、海外人才子女身份、或考生本人的学习经历等具体要求是什么？', '哎，我家孩子户口不在上海，要是想在这边高考的话，得满足啥条件啊？比如家长有居住证或者留学证明之类的吗？']","['父母在驻沪机构工作的非沪籍学生报考上海高考需要满足什么条件？', '在沪博士后子女非上海户籍如何报考高考？', '台胞或港澳居民的子女非沪籍能在上海参加高考吗？']",16
高考学考,秋考,报名篇,"问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：本市户籍考生、本市高中阶段学校毕业生中的应届毕业生；要求：高中阶段学校毕业或具有同等学历；有关证明：身份证，户籍证明；备注：无
对象：本市户籍考生、本市高中阶段学校毕业生中的往届毕业生；要求：高中阶段学校毕业或具有同等学历；有关证明：身份证，户籍证明，毕业证书；备注：无
对象：本市户籍考生、非本市高中阶段学校毕业生中的应届毕业生；要求：高中阶段学校毕业或具有同等学历；有关证明：身份证，户籍证明，学籍所在学校证明；备注：无
对象：本市户籍考生、非本市高中阶段学校毕业生中的往届毕业生；要求：高中阶段学校毕业或具有同等学历；有关证明：身份证，户籍证明，毕业证书；备注：无
对象：本市户籍考生、驻外使领馆工作人员随任子女中的应届毕业生；要求：高中阶段学校毕业或具有同等学历；有关证明：驻外使领馆出具回国证明，加盖使领馆印章；国外学校证明（译文版），本人常住户口登记卡；备注：无
对象：本市户籍考生、驻外使领馆工作人员随任子女中的往届毕业生；要求：高中阶段学校毕业或具有同等学历；有关证明：持证人上海市居住证及积分通知单，持证人与考生的身份证；备注：无
对象：非本市户籍考生，持积分达到标准分值的《上海市居住证》人员子女中的应届毕业生；要求：本市高中阶段学校毕业，且参加本市中招或父母一方连续持有《上海市居住证》3年；有关证明：持证人上海市居住证及积分通知单，持证人与考生的身份证；备注：无
对象：非本市户籍考生，持积分达到标准分值的《上海市居住证》人员子女中的往届毕业生；要求：本市高中阶段学校毕业，且参加本市中招或父母一方连续持有《上海市居住证》3年；有关证明：持证人上海市居住证及积分通知单，持证人与考生的身份证，毕业证书；备注：无
对象：非本市户籍考生，持《上海市海外人才居住证》留学人员的子女中的应届毕业生；要求：本市高中阶段学校毕业；有关证明：无；备注：市外国专家局锁定名单
对象：非本市户籍考生，持《上海市海外人才居住证》留学人员的子女中的往届毕业生；要求：本市高中阶段学校毕业；有关证明：无；备注：无
对象：非本市户籍考生，持有效《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》的留学人员其持外国护照子女中的应届毕业生；要求：参加本市中招且具有本市高中阶段完整学习经历；有关证明：市人力资源社会保障局出具的《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》；备注：无
对象：非本市户籍考生，持有效《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》的留学人员其持外国护照子女中的往届毕业生；要求：2023年列入本市高考报名库；有关证明：市人力资源社会保障局出具的《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》；备注：无
对象：非本市户籍考生，父母双方或一方现属上海市常住户籍中的应届毕业生；要求：参加本市中招且具有本市高中阶段完整学习经历；有关证明：父母一方现属本市户口的户籍证明，本人《上海市居住证》；备注：无
对象：非本市户籍考生，父母双方或一方现属上海市常住户籍中的往届毕业生；要求：2023年列入本市高考报名库；有关证明：父母一方现属本市户口的户籍证明，本人《上海市居住证》；备注：无
对象：非本市户籍考生，父母双方或一方是经上海市人民政府合作交流办公室认定的驻沪机构工作人员中的应届毕业生；要求：参加本市中招且具有本市高中阶段完整学习经历；有关证明：无；备注：名单由市教育考试院下达给各区
对象：非本市户籍考生，父母双方或一方是经上海市人民政府合作交流办公室认定的驻沪机构工作人员中的往届毕业生；要求：2023年列入本市高考报名库；有关证明：无；备注：名单由市教育考试院下达给各区
对象：非本市户籍考生，在沪台湾同胞，香港、澳门特别行政区永久居民中的应届毕业生；要求：本市高中阶段学校毕业；有关证明：台湾：《台湾居民来往大陆通行证》（台胞证）；香港、澳门：永久性居民身份证和《港澳居民来往内地通行证》；备注：无
对象：非本市户籍考生，在沪台湾同胞，香港、澳门特别行政区永久居民中的往届毕业生；要求：本市高中阶段学校毕业；有关证明：台湾：《台湾居民来往大陆通行证》（台胞证）；香港、澳门：永久性居民身份证和《港澳居民来往内地通行证》；备注：无
对象：非本市户籍考生，在沪定居并持有签发地为上海的《中华人民共和国外国人永久居留身份证》的外国人中的应届毕业生；要求：高中阶段学校毕业；有关证明：签发地为上海的《中华人民共和国外国人永久居留身份证》；备注：无
对象：非本市户籍考生，在沪定居并持有签发地为上海的《中华人民共和国外国人永久居留身份证》的外国人中的往届毕业生；要求：高中阶段学校毕业；有关证明：签发地为上海的《中华人民共和国外国人永久居留身份证》；备注：无
对象：非本市户籍考生，父母双方或一方是本市博士后科研流动站或工作站在站人员中的应届毕业生；要求：高中阶段学校毕业；有关证明：市人力资源社会保障局证明；备注：无
对象：非本市户籍考生，父母双方或一方是本市博士后科研流动站或工作站在站人员中的往届毕业生；要求：高中阶段学校毕业；有关证明：市人力资源社会保障局证明；备注：无
对象：非本市户籍考生，梅山、大屯、鲁矿三地上海后方基地单位职工子女中的应届毕业生；要求：参加本市中招且具有本市高中阶段完整学习经历；有关证明：无；备注：市教委锁定学生名单
对象：非本市户籍考生，梅山、大屯、鲁矿三地上海后方基地单位职工子女中的往届毕业生；要求：参加本市中招且具有本市高中阶段完整学习经历；有关证明：无；备注：市教委锁定学生名单",,17,"['""请说明2024年在上海参加秋季统一高考的报名条件有哪些？需区分考生户籍类型及应届/往届等不同情况。""', '""2024年上海高考报考条件？""', '""2024年在沪报考普通高校秋季统一高考的具体条件是什么？包括不同户籍类型考生（如本市户籍、非本市户籍、港澳台居民等）的资格要求、所需证明材料以及特殊情况的处理方式。""', '""有没有人知道明年在上海高考要啥条件啊？本地户口和外地生、应届往届这些区别咋规定的？""']","['2024年上海秋季高考的非沪籍考生需满足哪些资格条件？', '报考2024年上海普通高校的往届毕业生需提交哪些证明材料？', '驻外使领馆工作人员随任子女在沪参加秋季高考需要什么特殊证明？']",17
高考学考,秋考,报名篇,问：本市户籍考生、本市高中阶段学校毕业生中的应届毕业生2024年在沪报考普通高校条件是什么？答：要求：高中阶段学校毕业或具有同等学历；有关证明：身份证，户籍证明；备注：,"['(本市户籍考生、本市高中阶段学校毕业生中的应届毕业生,2024年在沪报考普通高校条件,高中阶段学校毕业或具有同等学历；)', '(本市户籍考生、本市高中阶段学校毕业生中的应届毕业生,2024年在沪报考普通高校条件有关证明,身份证，户籍证明；)', '(本市户籍考生、本市高中阶段学校毕业生中的应届毕业生,2024年在沪报考普通高校条件备注,)']",18,"['2024年本市户籍及应届高中毕业生在沪报考普通高校需要满足哪些条件和提供哪些证明材料？', '上海户籍应届生2024年本地高考条件是什么？', '作为具有上海市户籍且2024年高中毕业的应届生，若计划报考本市普通高校，需符合哪些具体资格要求？需要提前准备哪些身份或学历证明文件？', '哎，我明年在上海高中毕业，户口也是本地的，想报本地大学得符合啥条件啊？要带哪些材料去报名？']","['2024年上海户籍的应届高中毕业生报考本地高校需要提供哪些证明材料？', '本市高中应届生2024年在沪申请普通高校需满足哪些学历条件？', '2024年上海户籍考生报考本地高校需具备哪些基本要求和证件？']",18
高考学考,秋考,报名篇,问：本市户籍考生、本市高中阶段学校毕业生中的往届毕业生2024年在沪报考普通高校条件是什么？答：要求：高中阶段学校毕业或具有同等学历；有关证明：身份证，户籍证明，毕业证书；备注：,"['(本市户籍考生、本市高中阶段学校毕业生中的往届毕业生,2024年在沪报考普通高校条件,高中阶段学校毕业或具有同等学历；)', '(本市户籍考生、本市高中阶段学校毕业生中的往届毕业生,2024年在沪报考普通高校条件有关证明,身份证，户籍证明，毕业证书；)', '(本市户籍考生、本市高中阶段学校毕业生中的往届毕业生,2024年在沪报考普通高校条件备注,)']",19,"['2024年本市户籍的往届高中毕业生在沪报考普通高校需要满足哪些条件和提供哪些证明材料？', '本地户籍往届生2024年在沪高考条件及材料要求？', '作为具有本市户籍的高中往届毕业生，如果想在2024年申请上海市的普通高校，需要符合哪些具体条件？需提交哪些身份、学历相关的证明材料？是否有其他特别注意事项？', '“我是上海本地的，高中毕业过但没考上，明年想再考大学的话需要啥材料啊？毕业证啥的要带吗？”']","['2024年上海户籍的往届高中毕业生报考本地高校需提交哪些证明材料？', '本市往届生申请2024年上海高校需满足哪些基本要求和材料？', '上海户籍的往届高中毕业生在2024年报考普通高校需具备哪些条件及文件？']",19
高考学考,秋考,报名篇,问：本市户籍考生、非本市高中阶段学校毕业生中的应届毕业生2024年在沪报考普通高校条件是什么？答：要求：高中阶段学校毕业或具有同等学历；有关证明：身份证，户籍证明，学籍所在学校证明；备注：,"['(本市户籍考生、非本市高中阶段学校毕业生中的应届毕业生,2024年在沪报考普通高校条件,高中阶段学校毕业或具有同等学历；)', '(本市户籍考生、非本市高中阶段学校毕业生中的应届毕业生,2024年在沪报考普通高校条件有关证明,身份证，户籍证明，学籍所在学校证明；)', '(本市户籍考生、非本市高中阶段学校毕业生中的应届毕业生,2024年在沪报考普通高校条件备注,)']",20,"['2024年本市户籍考生及非本市高中阶段学校毕业的应届生，在沪报考普通高校需满足哪些条件和提供哪些证明材料？', '非本地高中应届生2024年在沪高考条件？', '2024年上海户籍考生和非本市高中毕业的应届生，若要在上海参加普通高校招生考试，需要符合哪些具体资格条件？需提交哪些身份、户籍及学籍相关证明文件？', '“我是上海户口但在外地读的高中，明年毕业想回上海考大学，得准备些啥材料啊？”']","['2024年非本市高中毕业的应届生在上海报考高校需提供哪些证明材料？', '本市户籍考生报考2024年上海普通高校的学历资格要求是什么？', '应届非本市高中毕业生在2024年申请上海高校需满足哪些条件和提交什么文件？']",20
