问题,来源,重写查询,重写三元组,重写问答对,重写文本段落
"""作为往届生、返沪生或非本市学籍的社会考生，参加20XX年上海市高考的具体报名流程是什么？不同户籍、居住证或工作单位情况的考生应如何选择对应的报考区域？""",2,,,,
"""我去年高考没考上，今年想再报上海的高考，该咋操作啊？还有那些外地回来的或者上班的人该去哪儿报名？""",2,,,,
上海市秋季考试报名的官方网站网址是什么？,3,,,,
秋考报名网址？,3,,,,
符合上海市秋考报名条件的考生需在何时通过哪个网站完成网上报名？具体的操作流程和网址入口在哪里？,3,,,,
上海秋考报名该上哪个网站啊？是不是在“上海招考热线”填信息？,3,,,,
"""如何确认报名是否成功？""",4,,,,
"""报名成功怎么确认？""",4,,,,
"""完成报名流程后，需要通过哪些具体方式或凭证来确认报名已成功？例如是否会生成唯一标识？""",4,,,,
"""报名之后咋知道成没成功啊？会有个啥号码之类的吗？""",4,,,,
"""如果在报名过程中发现个人信息填写有误，应如何更正？是否有截止期限限制？""",5,,,,
"""报名信息填错如何修改？""",5,,,,
"""网上报名期间，如果发现填写的姓名、联系方式等关键信息存在错误，是否有修改机会？具体操作流程是什么？系统会以哪次提交的信息作为最终依据？""",5,,,,
"""哎我不小心把报名信息填错了啊，还能改吗？改到啥时候为止？""",5,,,,
"""若网上报名截止后发现填报信息有误，应如何申请更正？""",6,,,,
"""报名截止后信息填错怎么办？""",6,,,,
"""如果在网上报名系统关闭后才发现自己提交的个人信息或报考信息存在错误，是否有补救措施？具体应该如何操作？""",6,,,,
"""哎呀，报名都结束了才发现信息填错了，这该咋整啊？""",6,,,,
"""考生报名后如政治面貌、户籍地址等基本信息发生变更，应如何申请更正？""",7,,,,
"""报名后信息变更如何处理？""",7,,,,
"""若考生在报名成功后因搬家等原因导致户籍地址、通讯地址或政治面貌等关键信息发生变化，需要采取哪些具体步骤来更正信息？是否需要提交证明材料？""",7,,,,
"""哎，我报名之后搬家了，地址和户籍信息都变了，这得找谁改啊？要带啥材料不？""",7,,,,
请告知考生基本信息修改的具体时间安排？,8,,,,
考生信息修改何时进行？,8,,,,
如果考生需要修改个人信息，应在哪些时间段内提交申请？2024年的具体修改日期有哪些？,8,,,,
哎，我想改考生信息的话，得啥时候去弄啊？有没有具体日子？,8,,,,
"""就读中高职贯通、中本贯通或五年一贯制的考生是否需要按规定报名高考？""",9,,,,
"""中高职贯通等考生要报名高考吗？""",9,,,,
"""如果考生目前就读的是中高职贯通、中本贯通或五年一贯制培养项目，是否需要在后续阶段报名高考？具体流程如何规定？""",9,,,,
"""哎，读中高职贯通或者五年一贯制的人，是不是还得报名高考啊？""",9,,,,
中本贯通转段是否需要参加高考？具体是哪种类型的高考？,10,,,,
中本贯通转段需高考吗？,10,,,,
中本贯通的学生在中职阶段结束后，进入本科阶段是否需要参加高考？如果需要，具体参加的是哪种形式的高考？,10,,,,
读中本贯通的话，后面转段还要考高考吗？,10,,,,
中高职贯通转段和五年一贯制学生在升学时是否需要参加普通高考？,11,,,,
中高职贯通和五年一贯制要高考吗？,11,,,,
请问中高职贯通的学生在转段进入高职阶段，以及五年一贯制学生转入高校时，是否必须参加全国统一高考？具体考试流程由谁负责？,11,,,,
哎，听说中高职贯通和五年一贯制的学生不用高考，是不是真的啊？,11,,,,
体育单招、保送生、英才班等特殊招生类型是否需要办理报名手续？,12,,,,
体育单招等需要报名吗？,12,,,,
作为特殊招生渠道的保送生、体育单招、英才班等考生，是否必须通过报名流程获取报名号才能录取？,12,,,,
听说保送生和体育单招这些不用报名？真的假的啊？,12,,,,
体育单招、保送生及英才班的报考考试类型应如何选择？,13,,,,
体育单招等考试选哪种报考？,13,,,,
在报名过程中，体育单招、保送生和英才班的考试类型如何区分选择？是否需要根据个人情况调整报考选项？,13,,,,
体育单招、保送生这些考试报名到底该选哪个？直接选秋考就行吗？,13,,,,
哪些人员不符合2024年高考报名资格？大一在校生是否属于禁止报名对象？,14,,,,
大一学生能报2024高考吗？,14,,,,
目前就读于大学一年级的学生是否有资格报名参加2024年的普通高考？根据相关规定，哪些类型的学生被明确禁止报名？,14,,,,
哎，我现在大一，想再考一次2024年的高考行不行啊？,14,,,,
本市户籍考生参加高考需要满足哪些条件？,15,,,,
上海户籍考生高考报名条件是什么？,15,,,,
作为上海户籍的考生，若想参加高考，需满足哪些具体资格要求？例如学历、户籍状态或其他相关限制？,15,,,,
我是上海本地户口，想参加高考的话得符合啥条件啊？,15,,,,
非上海市户籍的考生若想参加本地高考，需满足哪些具体要求？,16,,,,
上海高考非户籍生条件？,16,,,,
如果一名学生没有上海户籍，但希望在上海参加高考，需要符合哪些特定条件？例如父母持有居住证的情况、海外人才子女身份、或考生本人的学习经历等具体要求是什么？,16,,,,
哎，我家孩子户口不在上海，要是想在这边高考的话，得满足啥条件啊？比如家长有居住证或者留学证明之类的吗？,16,,,,
"""请说明2024年在上海参加秋季统一高考的报名条件有哪些？需区分考生户籍类型及应届/往届等不同情况。""",17,,,,
"""2024年上海高考报考条件？""",17,,,,
"""2024年在沪报考普通高校秋季统一高考的具体条件是什么？包括不同户籍类型考生（如本市户籍、非本市户籍、港澳台居民等）的资格要求、所需证明材料以及特殊情况的处理方式。""",17,,,,
"""有没有人知道明年在上海高考要啥条件啊？本地户口和外地生、应届往届这些区别咋规定的？""",17,,,,
2024年本市户籍及应届高中毕业生在沪报考普通高校需要满足哪些条件和提供哪些证明材料？,18,,,,
上海户籍应届生2024年本地高考条件是什么？,18,,,,
作为具有上海市户籍且2024年高中毕业的应届生，若计划报考本市普通高校，需符合哪些具体资格要求？需要提前准备哪些身份或学历证明文件？,18,,,,
哎，我明年在上海高中毕业，户口也是本地的，想报本地大学得符合啥条件啊？要带哪些材料去报名？,18,,,,
2024年本市户籍的往届高中毕业生在沪报考普通高校需要满足哪些条件和提供哪些证明材料？,19,,,,
本地户籍往届生2024年在沪高考条件及材料要求？,19,,,,
作为具有本市户籍的高中往届毕业生，如果想在2024年申请上海市的普通高校，需要符合哪些具体条件？需提交哪些身份、学历相关的证明材料？是否有其他特别注意事项？,19,,,,
“我是上海本地的，高中毕业过但没考上，明年想再考大学的话需要啥材料啊？毕业证啥的要带吗？”,19,,,,
2024年本市户籍考生及非本市高中阶段学校毕业的应届生，在沪报考普通高校需满足哪些条件和提供哪些证明材料？,20,,,,
非本地高中应届生2024年在沪高考条件？,20,,,,
2024年上海户籍考生和非本市高中毕业的应届生，若要在上海参加普通高校招生考试，需要符合哪些具体资格条件？需提交哪些身份、户籍及学籍相关证明文件？,20,,,,
“我是上海户口但在外地读的高中，明年毕业想回上海考大学，得准备些啥材料啊？”,20,,,,
2024年本市户籍考生及非本市高中往届毕业生在沪报考普通高校需要满足哪些条件和提供哪些证明材料？,21,,,,
2024年非本市高中往届生报考上海高校的条件？,21,,,,
作为本市户籍人员或非本市高中毕业的往届生，若计划2024年在上海参加普通高校招生考试，具体的报考资格要求是什么？需要准备哪些身份和学历证明材料？,21,,,,
哎，我是上海本地的，或者在外地读高中但已经毕业了，明年想在上海考大学的话得咋样才能报名啊？,21,,,,
2024年本市户籍考生及驻外使领馆工作人员随任子女应届毕业生在沪报考普通高校需满足哪些条件？需要提供哪些证明材料？,22,,,,
本市户籍及驻外使领馆随任子女应届生2024年在沪高考条件？,22,,,,
作为本市户籍或驻外使领馆工作人员随任子女的应届毕业生，若计划2024年在上海申请普通高校，需具备哪些资格条件？是否需要高中毕业或同等学历认证？具体需提交哪些证明材料（如回国证明、国外学校译文版证明等）？,22,,,,
哎，如果我是上海本地户口，或者爸妈在驻外使领馆工作，明年想在上海考大学的话，得符合啥要求啊？要带哪些材料去报名？,22,,,,
2024年本市户籍及驻外使领馆随任子女的往届毕业生在沪报考普通高校需满足哪些条件，需提交哪些证明文件？,23,,,,
沪籍和驻外使领馆随任子女往届生2024年在沪高考条件及材料？,23,,,,
作为本市户籍或驻外使领馆工作人员随任子女的往届毕业生，若计划2024年在上海报考普通高校，需具备哪些学历条件？需提供哪些身份和居住证明材料（如居住证、积分通知单等）？,23,,,,
上海本地户口或者驻外使领馆工作人员的小孩，如果是以前毕业的，明年想在上海考大学的话，需要啥条件啊？高中毕业证够吗？还要带户口本和居住证那些吗？,23,,,,
2024年非本市高中阶段学校应届毕业生，持积分达标的上海市居住证人员子女，在沪报考普通高校需满足哪些条件？,24,,,,
非本市应届生持上海居住证积分达标子女2024年在沪高考条件？,24,,,,
如果考生是非上海市户籍的应届高中毕业生，父母一方持有积分达标的上海市居住证，且考生在本市完成高中教育或父母居住证连续满三年，2024年报考上海普通高校需要提供哪些证明材料？具体要求是什么？,24,,,,
孩子爸妈有上海居住证且积分够了，孩子明年要在上海高考的话，需要啥条件？比如要本地高中毕业还是爸妈得满三年居住证啊？,24,,,,
非本市高中往届毕业生且父母持有达标上海居住证积分，2024年在沪报考普通高校需满足哪些条件？,25,,,,
2024年非本市往届生持沪居住证积分达标子女高考条件？,25,,,,
作为非本市高中阶段学校毕业的往届生，若父母一方持有积分达标的上海市居住证满3年，2024年在上海报考普通高校需要满足哪些具体条件？需提供哪些证明材料（如居住证、积分通知单、毕业证书等）？,25,,,,
外地高中毕业的往届生，父母有上海居住证且积分达标的话，明年能在上海考大学吗？要啥条件啊？比如父母居住证满几年？材料得带哪些？,25,,,,
2024年非本市户籍且持《上海市海外人才居住证》留学人员的子女作为应届毕业生，在沪报考普通高校的条件有哪些？,26,,,,
非沪籍海外人才子女2024年在沪高考条件？,26,,,,
若父母是持有《上海市海外人才居住证》的留学人员，孩子非本市户籍且为2024年应届毕业生，报考上海普通高校需满足哪些资格条件？是否需要提交额外证明材料？,26,,,,
孩子爸妈有上海海外人才居住证，但不是本地户口，明年孩子在上海高考要啥条件啊？,26,,,,
非本市户籍且持《上海市海外人才居住证》的留学人员子女，若为往届毕业生，2024年在上海报考普通高校需符合哪些条件？,27,,,,
2024年非沪籍持海外人才居住证留学人员往届子女在沪高考条件？,27,,,,
对于非上海市户籍的往届毕业生，其父母持有《上海市海外人才居住证》且为留学人员的情况下，2024年申请报考上海普通高校的具体资格要求有哪些？是否需要提供额外证明材料？,27,,,,
孩子是往届生，不是上海户口，但爸妈有上海海外人才居住证（留学人员），明年想在上海考大学的话，需要满足啥条件啊？,27,,,,
非本市户籍的留学人员持外国护照子女，作为2024年应届毕业生，在上海市报考普通高校需要满足哪些条件？需提供哪些证明材料？,28,,,,
非本市户籍留学人员子女2024年在沪高考条件及所需证明？,28,,,,
作为非本市户籍的留学人员，其持外国护照的子女若计划以应届毕业生身份在2024年报考上海市普通高校，需具备哪些具体条件？尤其是高中阶段的学习经历要求以及必须提供的《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》的相关细节是什么？,28,,,,
孩子爸妈是留学人员，有外国护照，但不是上海户口。如果孩子明年要在上海参加高考，需要啥条件？听说要一个什么人社局开的证明，对吗？,28,,,,
非本市户籍的留学人员持外国护照子女往届毕业生，若持有《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》，2024年在上海报考普通高校需满足哪些具体条件？,29,,,,
持优惠政策证明的非沪籍往届生2024年在沪高考条件？,29,,,,
作为非上海市户籍的往届毕业生，若属于留学人员持外国护照子女并已获得市人社局开具的《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》，2024年申请上海普通高校时有哪些要求？是否需要提前进入高考报名库？,29,,,,
哎，外地户口的往届生，爸妈是留学人员有那个优惠证明的话，明年在上海高考需要啥条件啊？是不是得先报过名才行？,29,,,,
2024年非上海市户籍但父母一方现属本市常住户口的应届毕业生，在沪报考普通高校需满足哪些条件？,30,,,,
非沪籍应届生2024年在上海高考条件（父母一方为沪籍）？,30,,,,
若考生非上海户籍且父母中有一方目前是上海市常住户籍，该生2024年想在上海参加普通高校招生考试，需要具备哪些资格？例如学习经历、居住证明等具体要求是什么？,30,,,,
爸妈有一方是上海户口的话，孩子明年能在上海参加高考吗？需要准备啥材料啊？,30,,,,
2024年非上海市户籍往届毕业生，若父母一方现属本市户籍，需满足哪些条件才能在沪报考普通高校？,31,,,,
非沪户籍往届生2024年在沪高考条件（父母一方有沪籍）？,31,,,,
父母中有一方目前是上海市常住户籍，但考生本人非本市户籍且为往届毕业生，计划2024年在上海参加普通高校招生考试，需要具备哪些报考资格？需提供哪些证明材料？,31,,,,
如果爸妈有一个是上海户口，但孩子自己不是上海户口而且还是复读生，明年想在上海考大学的话，得准备些啥材料啊？,31,,,,
非本市户籍应届毕业生，父母为上海市人民政府合作交流办公室认定的驻沪机构工作人员，2024年在沪报考普通高校需满足哪些条件？,32,,,,
父母是驻沪机构工作人员的应届生2024年沪高考条件？,32,,,,
若考生非上海户籍，父母其中一方是经上海市人民政府合作交流办公室认定的驻沪机构工作人员，且考生为应届毕业生，2024年在上海报考普通高校的具体要求是什么？是否需要完整的高中阶段学习经历？需提供哪些证明材料？,32,,,,
孩子不是上海户口，但爸妈是上海认定的驻沪机构员工，明年想在上海考大学的话，得满足啥条件啊？只要高中三年都在上海读就行吗？,32,,,,
非本市户籍且父母一方或双方为上海市人民政府合作交流办公室认定的驻沪机构工作人员的往届毕业生，2024年在沪报考普通高校需满足哪些具体条件？,33,,,,
非沪户籍驻沪机构人员子女往届生2024上海高考条件？,33,,,,
对于非上海市户籍的往届毕业生，若其父母中至少一方是经上海市人民政府合作交流办公室认定的驻沪机构工作人员，此类考生在2024年申请上海普通高校时，需要满足哪些资格要求？是否需要提供额外证明材料？,33,,,,
爸妈是上海驻沪机构的工作人员，但孩子不是上海户口，还是往届生的话，明年想在上海参加高考有什么要求啊？,33,,,,
2024年非本市户籍的港澳台应届毕业生在沪报考普通高校需满足哪些条件及提供哪些证明材料？,34,,,,
港澳台非沪籍应届生2024年在沪高考条件？,34,,,,
2024年非上海户籍的台湾同胞、香港和澳门永久居民的应届毕业生，若想在上海报考普通高校，需要具备哪些资格条件？例如学历要求和必须提交的证件证明，如台胞证或港澳通行证等具体材料是什么？,34,,,,
明年非上海户口的港澳台应届生，要在上海考大学的话，得满足啥条件啊？比如证件要带哪些？,34,,,,
"""2024年非本市户籍且在沪的台湾同胞及香港、澳门特别行政区永久居民往届毕业生，报考上海普通高校需满足哪些具体条件？""",35,,,,
"""非沪籍港澳台往届生2024年沪高考条件？""",35,,,,
"""作为非上海市户籍的往届毕业生，若属于在沪台湾同胞或持有香港、澳门永久居民身份，2024年申请上海普通高校时需具备哪些资格？需提交哪些特定证明材料（如台胞证、港澳身份证等）？""",35,,,,
"""哎，我朋友是台湾的，以前在上海读的高中，现在毕业了想明年在上海考大学，得准备啥材料啊？港澳的也是这样吗？""",35,,,,
2024年非本市户籍且在沪定居的外籍应届毕业生，持有上海签发的《外国人永久居留身份证》，报考上海普通高校需满足哪些条件？,36,,,,
外籍应届生持上海永久居留证在沪高考条件是什么？,36,,,,
作为非上海户籍的外国人，若已在沪定居并持有上海签发的外国人永久居留身份证，且为2024年应届毕业生，申请上海普通高校需要达到哪些具体要求？需提交哪些证明材料？是否有其他附加说明？,36,,,,
我是外地户口的外国学生，有上海的永久居留证，明年高中毕业想在上海考大学，需要满足啥条件啊？,36,,,,
2024年非上海户籍且持有上海签发的外国人永久居留身份证的往届毕业生，在沪报考普通高校需要满足哪些条件？,37,,,,
非沪籍往届外籍毕业生报考上海高校的条件？,37,,,,
作为非本市户籍的外国籍往届毕业生，若持有上海市签发的《外国人永久居留身份证》，2024年申请上海普通高校时需具备哪些资格？是否对毕业时间或学历有具体要求？,37,,,,
我是在上海有永久居留证的外国往届生，但不是本地户口，2024年想在上海考大学的话，得符合啥条件啊？,37,,,,
2024年非上海户籍应届考生，父母为在站博士后研究人员，在沪报考普通高校需满足哪些条件？,38,,,,
非沪籍博士后子女2024年沪高考条件是什么？,38,,,,
作为2024年应届毕业生，非上海户籍且父母中至少一方属于本市博士后流动站或工作站的在站人员，报考上海普通高校需具备哪些资格？需提交何种证明材料？,38,,,,
爸妈在上海做博士后，孩子户口不在这儿，明年高考能在上海考吗？要啥证明啊？,38,,,,
非本市户籍且父母一方为在站博士后的往届毕业生，2024年在沪报考普通高校需满足哪些条件？,39,,,,
外地户籍考生父母是博士后，在沪高考条件？,39,,,,
作为非上海户籍的往届毕业生，若父母中有一方是上海博士后科研流动站或工作站在站人员，2024年报考上海普通高校需要具备哪些资格？例如学历要求和需提交的证明材料是什么？,39,,,,
爸妈是上海在站的博士后，孩子不是本地户口但已经毕业了，明年想在上海考大学的话，需要啥条件啊？,39,,,,
"""非本市户籍的应届毕业生，若为梅山、大屯、鲁矿三地上海后方基地单位职工子女，2024年在上海报考普通高校需满足哪些条件？""",40,,,,
"""外地户籍的梅山等基地职工子女，2024年在沪高考条件是什么？""",40,,,,
"""2024年非上海户籍考生中，梅山、大屯、鲁矿三个上海后方基地单位职工的应届毕业子女，若想在上海参加普通高校招生考试，是否需要提供特定证明材料？报考资格的具体要求有哪些？""",40,,,,
"""我家孩子是外地户口，但父母在梅山那边的单位上班，明年想在上海考大学有啥要求不？听说不用开证明是真的吗？""",40,,,,
2024年非上海市户籍的梅山、大屯、鲁矿三地上海后方基地单位职工子女往届毕业生，在沪报考普通高校需符合哪些条件？,41,,,,
非沪籍三地往届生2024年在沪高考条件？,41,,,,
作为非上海市户籍的往届毕业生，若父母是梅山、大屯或鲁矿上海后方基地单位的职工，2024年想在上海参加普通高校招生考试，需要满足哪些具体资格要求？是否需提供额外证明材料？,41,,,,
哎，如果孩子不是上海户口，但爸妈在梅山、大屯那些后方基地工作，孩子是往届生的话，明年能在上海参加高考吗？有啥条件啊？,41,,,,
非本市户籍往届考生，父母一方现属上海户籍，具有本市高中完整学习经历，2022年高考未报到且2023年未参考复读，2024年是否具备高考资格？,42,,,,
非沪户籍往届复读生，2023年未高考，2024年能否报考？,42,,,,
考生为非上海市户籍往届生，父母中一方当前为上海常住户籍，考生曾参加上海中考并完成高中阶段学习，2022年高考被录取但未入学，2023年未参加高考选择复读。请问该考生是否符合2024年上海高考报名条件？,42,,,,
"""我朋友爸妈是上海户口，他高中在上海读的，但去年没高考在复读，明年能考吗？""",42,,,,
梅山、大屯、鲁矿三地的高中阶段考生是否具备参加上海市高考的资格？,43,,,,
梅山等地高中生能考上海高考吗？,43,,,,
梅山、大屯、鲁矿三地属于上海后方基地单位，这些地区的高中学生若想报考上海高考，需满足哪些具体条件？比如是否需被纳入教委名单并完成本地高中学业？,43,,,,
听说梅山那边的高中生也能参加上海高考，是真的吗？需要啥条件不？,43,,,,
"""台湾同胞及港澳华侨考生参加的高考与上海高考相比，试题难度是否更低？""",44,,,,
"""港澳台华侨联考试题比上海高考简单吗？""",44,,,,
"""针对华侨、港澳台学生的高考联考试卷，在科目设置、试题难度等方面是否与上海普通高考存在差异？具体考试形式由哪个机构负责？""",44,,,,
"""听说港澳台华侨生的高考卷子比上海简单？真的假的啊？""",44,,,,
"""本市学籍的应届高中毕业生在符合报名条件的情况下，可以报考哪些类型的考试项目？""",45,,,,
"""高三应届生能报哪些考试？""",45,,,,
"""作为本市户籍的高三应届毕业生，在升学阶段有哪些国家或地方组织的正规考试项目可供选择？例如春季招生、秋季统考等是否包含在内？""",45,,,,
"""我今年高三，是本市的应届生，能报哪些考试啊？比如春考之类的算吗？""",45,,,,
"""符合报名条件的往届高中阶段毕业生可以报考哪些高考相关考试项目？""",46,,,,
"""往届生能报哪些高考考试？""",46,,,,
"""2023年高考失利后选择复读的往届毕业生，若准备参加2024年高考，在符合条件的情况下，具体有哪些考试类型可以报名参加？例如统一高考或专项考试等。""",46,,,,
"""复读生明年高考的话，是不是所有考试都能报？比如春考、秋考这些都能参加吗？""",46,,,,
符合报名条件的非本市学籍应届高中毕业生，在上海可以报考哪些考试项目？,47,,,,
非沪籍应届生能参加哪些上海考试？,47,,,,
上海户籍的应届高中生在外省市就读，若符合报名条件，毕业后回沪可报考哪些考试？具体包括哪些类型？,47,,,,
我户口在上海，但在外地读高中，毕业回来能考哪些试啊？,47,,,,
符合报名条件的本市学籍应届三校生可以报考哪些高考考试项目？,48,,,,
应届三校生能参加哪些高考？,48,,,,
目前就读中职校的应届毕业生，若持有本市学籍且符合报考要求，有哪些高考类型可供选择？例如专科自主招生、秋季统考或三校生高考，不同选项之间是否存在互斥限制？,48,,,,
我是中职在读的应届生，户口在本市，能报哪些高考啊？听说选了某个考试就不能报艺体专业了，真的假的？,48,,,,
持有积分未达到标准分值的《上海市居住证》持证人的同住子女，可以报考哪些考试项目？具体录取条件是什么？,49,,,,
居住证积分不足的考生能参加哪些考试？,49,,,,
若考生家长持有未达标准分值的上海居住证，且考生已完成全日制中等职业教育（包括本市中职自主招生或长三角示范区职教一体化项目），其应届生和往届生分别能报考哪些考试？录取层次是否有区别？,49,,,,
家长积分不够的话，孩子能考大专吗？具体能报3月还是5月的考试啊？,49,,,,
本市户籍但在外省市中职校就读的应届毕业生，是否具备报考本市三校生高考的资格？,50,,,,
外省中职学籍的本市户籍生能报三校生高考吗？,50,,,,
我目前是外省市中职校的应届毕业生，但户籍属于本市。听说三校生高考比秋季高考简单，请问我这种情况是否符合报考本市三校生高考的条件？学籍在外地是否会被限制？,50,,,,
哎，我是上海户口但在外地读的中职，能回上海参加三校生高考吗？是不是必须本地学校毕业才行啊？,50,,,,
新疆中职班或西藏中职班的应届毕业生是否具备秋季高考本科院校的报考资格？,51,,,,
新疆/西藏中职班应届生能报秋考本科吗？,51,,,,
根据现行政策，新疆中职班和西藏中职班的应届毕业生在报名秋季高考时，是否有资格申请本科院校而非仅限于专科？,51,,,,
哎，新疆和西藏中职班的学生要是今年毕业，能不能通过秋考直接考本科啊？,51,,,,
