问题,来源,考试类型
上海户籍以外的往届高中毕业生，2024年在沪报考高校需提供什么证件？,21,['高考学考_秋考']
驻外使领馆随任子女中的应届毕业生2024年在沪报考普通高校需提交哪些证明材料？,22,['高考学考_秋考']
2024年本市户籍考生报考上海高校的学历条件是什么？,22,['高考学考_秋考']
驻外人员子女作为应届生在上海参加高考需满足哪些要求和提供哪些文件？,22,['高考学考_秋考']
2024年驻外使领馆工作人员随任子女往届生报考上海高校需提供哪些证明材料？,23,['高考学考_其他考试—普通高校联合招收华侨港澳台考试']
本市户籍往届毕业生报考2024年上海高校需满足哪些学历条件？,23,['高考学考_秋考']
驻外使领馆随任子女中的往届生2024年在沪高考需要什么证件和资格？,23,['高考学考_秋考']
"2024年非沪籍应届生在沪高考需提供哪些材料？（触发答案中""有关证明""部分）",24,['高考学考_秋考']
"父母持有上海居住证多久才能让非本地高中应届生子女在沪高考？（对应答案中""父母一方连续持有3年""条件）",24,['高考学考_秋考']
"非本市高中毕业的应届生报考上海高校是否需要本地就读经历？（指向答案中""本市高中阶段学校毕业""核心要求）",24,['高考学考_秋考']
2024年非上海户籍的往届高中毕业生在沪高考需提供哪些证明材料？,25,['高考学考_秋考']
父母一方持有上海居住证需满多少年，其外地高中毕业的子女才符合2024年上海高考报名条件？,25,['高考学考_秋考']
外地高中毕业的往届生，若父母持上海居住证积分达标，需满足哪些要求才能在沪报考2024年普通高校？,25,['高考学考_秋考']
持《上海市海外人才居住证》的留学人员子女，若非本市户籍且为应届毕业生，2024年在上海高考需满足哪些学历条件？,26,['高考学考_秋考']
非沪籍考生凭父母的上海海外人才居住证报考2024年本地高校时，是否需要提交特殊证明材料？,26,['高考学考_秋考']
2024年非本市户籍的海外人才居住证持有人子女，应届毕业报考上海高校的主要资格要求是什么？,26,['高考学考_秋考']
非本地户籍的海外人才居住证持有者子女往届生报考2024上海高校需要什么学历条件？,27,['高考学考_秋考']
持上海海外人才居住证的留学人员往届毕业生子女报考高校需提交哪些额外材料？,27,['高考学考_其他考试—普通高校联合招收华侨港澳台考试']
非沪籍考生凭海外人才居住证报考2024年上海普通高校是否需要其他证明材料？,27,['高考学考_秋考']
2024年非本市户籍的留学人员外籍子女应届生，在沪报考高校需满足哪些学习经历和证明材料？,28,['高考学考_秋考']
持《优惠政策证明》的非本市户籍外籍考生，2024年在上海申请高校需具备什么条件？,28,['高考学考_秋考']
留学人员的外籍子女若想以应届生身份报考2024年上海高校，需提供哪些证明并符合何种学习要求？,28,['高考学考_秋考']
2024年在上海报考高校的非本市户籍留学人员外籍往届毕业生，需满足哪些条件？,29,['高考学考_其他考试—普通高校联合招收华侨港澳台考试']
持《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》的往届生，2024年在沪高考需符合什么要求？,29,['高考学考_秋考']
留学人员的外籍子女往届毕业生若要在2024年报考上海普通高校，需要哪些资格和材料？,29,['高考学考_秋考']
2024年在上海高考的非本地户籍应届生，若父母中有一方是上海户籍，需满足哪些条件？,30,['高考学考_秋考']
父母一方为上海户籍的非本市考生，2024年在沪报考普通高校需要提交哪些证明材料？,30,['高考学考_秋考']
父母具有上海户籍的非沪籍应届毕业生，2024年在上海参加高考的资格要求是什么？,30,['高考学考_秋考']
2024年非上海户籍往届生，父母一方属本市户口，在沪高考需提供哪些证明材料？,31,['高考学考_秋考']
父母有一方是上海户籍的非本市往届生，2024年在上海参加高考需要符合什么要求？,31,['高考学考_秋考']
非沪籍往届毕业生，父母现属上海户籍，2024年报考上海高校需要满足哪些条件？,31,['高考学考_秋考']
父母为驻沪机构工作人员的非上海户籍应届生，2024年报考上海高校需满足哪些学习经历条件？,32,['高考学考_秋考']
非本市户籍考生若父母一方是上海认定的驻沪机构人员，报考时是否需要提交额外证明？,32,['高考学考_秋考']
在上海完整读完高中的非户籍考生，父母为驻沪机构职工，报考2024年本地高校有什么要求？,32,['高考学考_秋考']
非上海户籍往届考生，父母为驻沪机构工作人员，2024年在沪高考需要提交哪些证明材料？,33,['高考学考_秋考']
父母一方属于上海市政府合作交流办认定的驻沪机构员工的往届生，2024年报考上海高校需满足什么资格？,33,['高考学考_秋考']
外省市户籍往届生，父母为驻沪机构工作人员，2024年在沪高考是否需要2023年的报名库记录？,33,['高考学考_秋考']
"""2024年在沪高考，港澳台应届毕业生需要提供哪些身份证明材料？""",34,['高考学考_其他考试—普通高校联合招收华侨港澳台考试']
"""台湾和港澳的应届生在上海报考普通高校需满足什么资格条件？""",34,['高考学考_其他考试—普通高校联合招收华侨港澳台考试']
"""港澳台学生2024年在上海参加高考，需符合哪些要求并提交什么证件？""",34,['高考学考_其他考试—普通高校联合招收华侨港澳台考试']
2024年港澳台往届非沪籍考生报考上海普通高校需满足哪些基本要求和材料？,35,['高考学考_其他考试—普通高校联合招收华侨港澳台考试']
台湾往届毕业生在上海报考高校时需提交哪些身份证明材料？,35,['高考学考_其他考试—普通高校联合招收华侨港澳台考试']
港澳永久居民往届生2024年在上海申请普通高校需提供什么证件？,35,['高考学考_其他考试—普通高校联合招收华侨港澳台考试']
2024年在上海报考高校的外国应届毕业生需满足哪些条件并提供何种证件？,36,['高考学考_其他考试—普通高校联合招收华侨港澳台考试']
非上海户籍的外籍学生，若明年申请上海普通高校，需要哪些毕业证明和身份材料？,36,['高考学考_秋考']
在上海持有永久居留身份证的外国应届生，报考2024年当地高校的资格要求是什么？,36,['高考学考_其他考试—普通高校联合招收华侨港澳台考试']
持有上海签发的外国人永久居留身份证的往届外籍毕业生，2024年在上海报考高校需要满足哪些条件？,37,['高考学考_秋考']
2024年非本市户籍的外籍往届生报考上海高校需提交哪些证明材料？,37,['高考学考_秋考']
在沪定居的外籍往届生，若想参加2024年上海普通高校考试，学历和证件要求是什么？,37,['高考学考_秋考']
父母一方是上海博士后流动站在站人员的非本地户籍应届生，2024年在上海高考需要提交哪些证明材料？,38,['高考学考_秋考']
非上海户籍考生，若父母是本市在站博士后研究人员，申请2024年上海高校报考需满足哪些要求？,38,['高考学考_秋考']
2024年非沪籍应届生报考上海高校，父母为在站博士后工作者需符合什么条件？,38,['高考学考_秋考']
2024年在沪高考，非本市户籍往届生父母是博士后需哪些条件？,39,['高考学考_秋考']
父母属于上海博士后流动站在站人员的往届毕业生，报考上海高校需要提交什么材料？,39,"['高考学考_秋考', '研考成考_研究生招生考试']"
非本市户籍往届考生，若父母一方是本市在站博士后，2024年在沪高考需满足哪些要求？,39,['高考学考_秋考']
户籍不在上海，但属于梅山等后方基地职工子女的应届生，2024年报考上海高校需满足哪些条件？,40,['高考学考_秋考']
外地户籍的应届生，若为上海后方基地职工子女，2024年在沪高考需要什么资格？,40,['高考学考_秋考']
梅山、大屯等地上海后方基地的非沪籍考生，2024年在沪高考是否需要提交额外证明材料？,40,['高考学考_秋考']
梅山、大屯、鲁矿上海后方基地的往届非户籍考生，2024年在上海高考需要满足哪些学习经历条件？,41,['高考学考_秋考']
非上海户籍的往届生，父母是上海后方基地单位职工，报考本地高校是否需要提供特殊证明？,41,['高考学考_秋考']
2024年鲁矿等地上海后方基地职工的非户籍往届子女，在沪高考资格对高中学习经历有何要求？,41,['高考学考_秋考']
非本市户籍往届考生，父母一方为上海户籍，2023年未参加高考且在复读，2024年能否报考？,42,['高考学考_秋考']
父母现属上海户籍的非沪籍往届生，2023年未进行高考报名，2024年复读后是否具备高考资格？,42,['高考学考_秋考']
考生父母是上海户籍但本人非沪籍，2022年高考未报到且2023年未报名，2024年复读能否参加高考？,42,['高考学考_秋考']
梅山、大屯、鲁矿三地哪些学生符合参加上海高考的条件？,43,['高考学考_秋考']
上海后方基地单位的职工子女如何获得在上海高考的资格？,43,['高考学考_秋考']
哪些外地高中毕业生可以在上海参加高考？,43,['高考学考_秋考']
华侨港澳台学生的全国联考名称是什么？,44,['高考学考_其他考试—普通高校联合招收华侨港澳台考试']
如何咨询华侨港澳台学生联考的具体信息？,44,['高考学考_其他考试—普通高校联合招收华侨港澳台考试']
上海是否为华侨港澳台联考设立考点？,44,['高考学考_其他考试—普通高校联合招收华侨港澳台考试']
本市应届高中毕业生有资格参加哪些升学考试？,45,"['高考学考_秋考', '高考学考_春考', '高考学考_艺术类统一考试', '高考学考_体育类统一考试', '高考学考_专科自主招生']"
哪些考试项目面向本市学籍的应届高三学生开放？,45,"['高考学考_秋考', '高考学考_春考', '高考学考_艺术类统一考试', '高考学考_体育类统一考试', '高考学考_专科自主招生', '高考学考_三校生高考']"
应届高三学生在本市可以报考哪些高考相关考试？,45,"['高考学考_秋考', '高考学考_春考', '高考学考_艺术类统一考试', '高考学考_体育类统一考试', '高考学考_专科自主招生']"
往届高中毕业生符合条件的情况下，可以报名参加哪些高考相关考试？,46,"['高考学考_秋考', '高考学考_专科自主招生']"
复读生除了秋季高考外，还有哪些考试项目允许报名？,46,"['高考学考_春考', '高考学考_艺术类统一考试', '高考学考_体育类统一考试', '高考学考_专科自主招生']"
符合资格的往届生可以报考的高考考试类型包括哪些？,46,"['高考学考_秋考', '高考学考_春考', '高考学考_艺术类统一考试', '高考学考_体育类统一考试', '高考学考_三校生高考', '高考学考_专科自主招生']"
上海户籍但在外省市就读高中的应届毕业生，可以参加哪些上海本地的高考类型？,47,"['高考学考_秋考', '高考学考_春考', '高考学考_专科自主招生']"
非上海学籍的上海户籍应届生，有哪些高考相关考试的报名资格？,47,"['高考学考_秋考', '高考学考_春考']"
学籍在外地的上海户籍高中生，回沪后能报考哪些招生考试？,47,"['高考学考_秋考', '高考学考_春考', '高考学考_专科自主招生']"
应届三校生若想报考艺体类专业统考，需选择哪种高考考试类型？,48,"['高考学考_三校生高考', '高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
选择三校生高考后，是否还能同时参加本市艺体类专业统一考试？,48,"['高考学考_三校生高考', '高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
本市中职应届生在高考中可报考的考试项目有哪些，是否存在互斥选项？,48,"['高考学考_三校生高考', '高考学考_专科自主招生', '高考学考_中职校学业水平考试']"
持有未达标积分上海居住证的家长，其同住子女可以报考哪些专科层次考试？,49,"['高考学考_专科自主招生', '研考成考_成人高考', '自学考试_自学考试']"
应届和往届中职毕业生在报考专科层次考试时有哪些不同限制？,49,['高考学考_专科自主招生']
长三角示范区职教一体化的吴江、嘉善学生完成中职教育后，能否参加上海的专科考试录取？,49,['高考学考_专科自主招生']
本市户籍但在外省中职校就读的应届生，是否符合三校生高考报考条件？,50,['高考学考_三校生高考']
外省市中职应届毕业生，有上海户籍是否可以报名参加本市的三校生高考？,50,['高考学考_三校生高考']
报考三校生高考是否需要同时满足本市户籍和学籍？外省学籍的上海户籍生能报吗？,50,['高考学考_三校生高考']
新疆中职班应届毕业生能否通过秋季高考报考本科院校？,51,['高考学考_秋考']
西藏中职班应届毕业生有资格参加秋季高考并报本科吗？,51,['高考学考_秋考']
上海新疆中职班应届毕业生能报考本科层次的秋季高考吗？,51,['高考学考_秋考']
如何查询不同考试项目的兼报信息？,52,[]
高考报名时是否有汇总的考试兼报指南？,52,['高考学考_秋考']
哪里可以查看考试项目兼报的详细表格？,52,[]
本市户籍的初中学历考生需要满足什么条件才能申请高考？,53,['高考学考_秋考']
初中学历满三年的本市户籍人员如何办理高考报名手续？,53,['高考学考_秋考']
只有初中学历的本市户籍考生，需等待多久才能通过审核参加高考？,53,['高考学考_秋考']
本市应届毕业生报名时信息如何获取？,54,['高考学考_秋考']
哪些学生报名信息由学籍库自动转入？,54,"['高考学考_高中学业水平考试', '中考中招_中考中招']"
应届高中和中职校毕业生需要自己填写报名信息吗？,54,"['高考学考_秋考', '高考学考_三校生高考']"
高中生的学籍信息有误应该怎么处理？,55,[]
家长发现孩子报名信息错误应该怎么办，需要准备哪些材料？,55,[]
应届生报名信息错误是否需要直接联系考试院，正确的处理流程是什么？,55,[]
填写个人简历和家庭成员时需要满足哪些条件？,56,[]
在报名页面中，哪些信息是必须填写的？,56,[]
登录页面中个人简历和家庭成员部分最少需要填写多少条信息？,56,"['高考学考_秋考', '高考学考_春考', '高考学考_三校生高考', '高考学考_专科自主招生', '中考中招_中考中招', '研考成考_研究生招生考试', '研考成考_成人高考']"
秋季高考的本科录取需要满足哪些科目条件？,57,['高考学考_秋考']
10月大报名时勾选的学业水平等级考科目是否直接作为次年5月的考试报考依据？,57,['高考学考_高中学业水平考试']
如果选错外语考试的语种，后续可以修改吗？,57,['研考成考_同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试']
能否单独报考春季高考的外语科目而不选语文和数学？,58,['高考学考_春考']
如果考生只想参加春考的外语考试，是否还需要报名语文和数学？,58,['高考学考_春考']
一月份的外语考试是否可以只报考这一科，不涉及其他科目？,58,[]
如果选择报考一月份外语考试，系统会自动关联其他考试吗？,59,['研考成考_研究生招生考试']
春季高考的报名是否需要单独勾选一月份外语考试？,59,['高考学考_春考']
应届毕业的三校生是否有资格报名春季高考？,59,"['高考学考_春考', '高考学考_三校生高考']"
"""本市应届三校生能否同时报考三校生高考和秋季高考？""",60,"['高考学考_三校生高考', '高考学考_秋考']"
"""三校生考生是否可以选择两种高考类型，考后再决定参加哪一场？""",60,['高考学考_三校生高考']
"""政策是否允许符合条件的考生既参加三校生高考又参加秋季高考？""",60,"['高考学考_秋考', '高考学考_三校生高考']"
如果考生在高考大报名后的补考中仍有科目未通过，能否参加春季高考的志愿填报？,61,['高考学考_春考']
学业水平考试有未合格科目，是否影响春季高考的报考资格？,61,"['高考学考_春考', '高考学考_高中学业水平考试']"
春季高考的志愿填报是否受到补考成绩的影响？,61,['高考学考_春考']
上海户籍但在外省就读高中的应届生，其学业水平合格性考试成绩如何被认定为有效？,62,['高考学考_高中学业水平考试']
外省市学籍的上海户口考生需通过什么流程确认合格考成绩资格？,62,['高考学考_高中学业水平考试']
在哪里可以找到上海市外省学籍考生合格考成绩认定的申请信息？,62,['高考学考_高中学业水平考试']
如果考生不参加等级考试，只参加秋考，能否申请专科院校？,63,['高考学考_秋考']
是否允许考生放弃等级考试，仅通过秋考成绩参与专科录取？,63,['高考学考_秋考']
报考专科是否必须参加等级考试，还是仅凭秋考成绩即可？,63,['高考学考_秋考']
哪些类型的考生不能参加专科自主招生报名？,64,['高考学考_专科自主招生']
报名专科自主招生时提示不符合条件，可能是什么原因？,64,['高考学考_专科自主招生']
报考专科自主招生需要满足什么条件？是否有特定学生群体被限制？,64,['高考学考_专科自主招生']
中高职贯通选项显示不可选该如何处理？,65,['高考学考_专科自主招生']
报考时系统提示五年一贯制不能选择怎么办？,65,['高考学考_中职校学业水平考试']
为什么填写学制时中高职贯通选项无法被选中？,65,['高考学考_中职校学业水平考试']
艺考报名时需要注意哪些关键事项？,66,['高考学考_艺术类统一考试']
如何有效准备艺考的报考流程？,66,['高考学考_艺术类统一考试']
艺考报考的核心步骤有哪些？,66,['高考学考_艺术类统一考试']
为什么无法勾选艺术类或体育类统考选项？,67,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
参加艺体类考试的前提条件是什么？,67,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
报名时艺体类考试选项显示不可选，如何解决？,67,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
如何将已选择的艺术考试大类更改为其他类别？,68,['高考学考_艺术类统一考试']
艺术类考试类型选错了，可以直接修改吗？,68,['高考学考_艺术类统一考试']
报考艺术类考试后想更换大类，需要哪些步骤？,68,['高考学考_艺术类统一考试']
艺术类考生能否同时申请不同类别的考试？,69,['高考学考_艺术类统一考试']
艺术类考试有没有报考大类数量的限制？,69,['高考学考_艺术类统一考试']
是否允许考生报考多个艺术大类？,69,['高考学考_艺术类统一考试']
艺术类统考和体育类统考允许考生同时报名吗？,70,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
是否可以兼报艺术类和体育类的省级统一考试？,70,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
报考体育类统考的同时，还能参加艺术类统考吗？,70,"['高考学考_体育类统一考试', '高考学考_艺术类统一考试']"
艺术统考类别在报名截止后还能修改吗？,71,['高考学考_艺术类统一考试']
修改艺术类统考信息时能调整哪些具体项目？,71,['高考学考_艺术类统一考试']
艺术类考生修改报考信息后是否会退还相关费用？,71,['高考学考_艺术类统一考试']
报考专科自主招生或三校生高考的艺体类专业需要参加艺术类统考吗？,72,"['高考学考_专科自主招生', '高考学考_三校生高考']"
艺体类专科自主招生考试是由哪些单位组织的？,72,['高考学考_专科自主招生']
报名艺体类专业考试时是否需要勾选统考选项？,72,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
报考表（导）演类时如何选择具体方向？,73,['高考学考_艺术类统一考试']
表（导）演类的三个方向可以同时报考吗？,73,['高考学考_艺术类统一考试']
勾选表（导）演类后还需要完成哪些操作？,73,['高考学考_艺术类统一考试']
报考表演和导演方向的考生，若两个方向包含相同的考试科目，是否需要分别参加两次考试？,74,['高考学考_艺术类统一考试']
如果考生同时选择戏剧影视表演和导演方向，是否需要重复参加文学作品朗诵和命题即兴表演的考试？,74,['高考学考_艺术类统一考试']
同一考生报考的两个方向有部分考试科目内容相同，是否可以合并考试而非重复参加？,74,['自学考试_自学考试']
勾选舞蹈类时必须注意哪些必要选项？,75,['高考学考_艺术类统一考试']
在操作中选择舞蹈类后还需要完成什么步骤？,75,['高考学考_艺术类统一考试']
舞蹈类目下应该包含哪些具体的分类选项？,75,['高考学考_艺术类统一考试']
"""音乐类考生需要如何选择考试科目方向？""",76,['高考学考_艺术类统一考试']
"""报考音乐教育类的考生在科目选择上有什么具体要求？""",76,['高考学考_艺术类统一考试']
"""音乐类不同方向（如声乐、器乐、教育类）的科目要求是什么？""",76,['高考学考_艺术类统一考试']
2024年音乐类艺考允许考生同时选择声乐和器乐两个方向吗？,77,['高考学考_艺术类统一考试']
艺考改革后，音乐类专业考生能报考多个方向吗？,77,['高考学考_艺术类统一考试']
2024年音乐类考试是否限制考生只能报考一个方向（如声乐或器乐）？,77,['高考学考_艺术类统一考试']
戏曲类联考考生在报名时需要勾选什么选项？,78,['高考学考_艺术类统一考试']
参加戏曲类联考是否必须勾选对应的报名选项？,78,['高考学考_艺术类统一考试']
勾选戏曲类联考选项后还需要完成哪些报名步骤？,78,['高考学考_艺术类统一考试']
"""勾选戏曲联考选项是否等于完成了联考报名？""",79,['高考学考_艺术类统一考试']
"""勾选参加戏曲联考后是否需要单独报名考试？""",79,['高考学考_艺术类统一考试']
"""如何正式报名戏曲类联考，勾选信息采集是否足够？""",79,['高考学考_艺术类统一考试']
报考艺术类校考是否需要勾选特定选项？,80,['高考学考_艺术类统一考试']
参加校考的考生是否需要统考合格并勾选校考选项？,80,['高考学考_艺术类统一考试']
勾选“艺术类校考”选项的作用是什么？,80,[]
勾选艺术类校考选项是否意味着已经完成校考报名？,81,[]
艺术类校考是否需要通过勾选以外的其他方式正式报名？,81,[]
勾选校考后是否还需要根据院校要求另行报考？,81,[]
艺术类校考信息应该通过什么渠道获取？,82,[]
如何了解报考的艺术院校是否安排校考？,82,['高考学考_艺术类统一考试']
怎样查询目标艺术院校的校考安排通知？,82,['高考学考_艺术类统一考试']
考生在网上自行报名后如何修改报名信息？,83,[]
秋考报名信息确认的截止时间是什么时候？,83,['高考学考_秋考']
如果发现报名信息有误，考生还能调整吗？,83,['中考中招_中考中招']
报名时未显示照片或照片不符应该如何处理？,84,[]
补拍照片需要携带哪些材料？,84,[]
考生照片采集的时间和地点是什么？,84,[]
现场确认环节是否允许他人代替考生参加？,85,"['研考成考_研究生招生考试', '研考成考_成人高考', '自学考试_自学考试']"
如果无法亲自到场确认报名，应该如何处理？,85,[]
报名确认有没有特殊情况的豁免政策？,85,[]
"""高考报名确认环节需要根据考生身份提交哪些材料？""",86,['高考学考_秋考']
"""不同身份的考生进行高考报名时，材料清单在哪里查询？""",86,['高考学考_秋考']
"""如何获取高考报名所需的身份对应材料明细？""",86,['高考学考_秋考']
家长反映考生材料被学校认定不符合2024年报考要求，应该如何处理？,87,[]
若区招考机构和学校认为考生材料不达标，考试院能否直接介入审核？,87,['中考中招_中考中招']
考生报考材料审核争议应向哪个部门反馈？,87,"['中考中招_中考中招\n\n用户输入：""考生报考材料审核争议应向哪个部门反馈？""  \n无']"
往届生和社会生的高考报名材料审核时间是如何安排的？,88,['高考学考_秋考']
如果考生还未收到资格审核的通知，应该如何处理？,88,[]
非本市学籍的应届高中生材料审核由哪个单位负责组织？,88,[]
报名所需的证件有效期截止到什么时候？,89,[]
考试当天证件必须处于有效期内吗？,89,[]
居住证和积分有效期需要满足什么时间条件？,89,[]
如果家长无法按时提交报名材料，2024年是否有补报名的机会？具体时间如何安排？,90,[]
不同考生类型（如在校生、往届生等）补报名时应分别联系哪些机构？,90,[]
2024年补报名的时间段有哪两次？针对不同考生应如何操作？,90,[]
2024年秋季高考的所有报名考生都需要进行体检吗？,91,['高考学考_秋考']
特殊类型招生（如保送生、高水平运动队）的考生是否必须参加高考体检？,91,['高考学考_秋考']
长期在外省市就读的上海户籍考生如何安排高考体检？,91,['高考学考_秋考']
外地学生是否能在当地医院完成上海高考的体检？,92,['高考学考_秋考']
上海高考体检允许在非指定机构进行吗？,92,['高考学考_秋考']
异地就读的学生参加高考体检需要返回上海吗？,92,['高考学考_秋考']
如果没参加高考体检，有什么补救方法吗？,93,['高考学考_秋考']
高考体检错过了，最晚什么时候联系招考机构？,93,['高考学考_秋考']
错过高考体检后应该联系哪个部门处理？,93,['高考学考_秋考']
如果对体检结果不满意，应该怎么申请重新审核？,94,"['高考学考_秋考', '中考中招_中考中招', '研考成考_研究生招生考试']"
考生应在什么期限内提出体检结果复议？,94,"['高考学考_秋考', '高考学考_春考', '高考学考_体育类统一考试', '高考学考_专科自主招生', '中考中招_中考中招', '研考成考_研究生招生考试', '研考成考_成人高考']"
体检结果确认后还能更改吗？,94,"['中考中招_中考中招', '高考学考_体育类统一考试', '研考成考_研究生招生考试']"
如果考生在录取后被高校安排体检复查，会以复查结果调整录取决定吗？,95,"['高考学考_秋考', '研考成考_研究生招生考试']"
考生治疗后身体状况改善，录取时能否提交新的健康证明替代原体检结果？,95,['高考学考_秋考']
高校录取时是否会根据考生最新的身体状况重新审核资格？,95,['高考学考_秋考']
"""2024年高考缴费分几次进行？""",96,['高考学考_秋考']
"""往届生应该如何安排高考缴费？""",96,['高考学考_秋考']
"""第三次缴费是针对哪些考生的？""",96,[]
